min_score,min_margin,correct_trigger,correct_abstain,false_trigger,wrong_tier,miss,neighbor_worst_correct
0.52,0.0,39,11,21,8,1,0
0.52,0.001,38,12,20,8,2,0
0.52,0.002,38,13,19,8,2,0
0.52,0.003,37,15,17,5,6,0
0.52,0.004,37,16,16,5,6,0
0.52,0.005,34,20,12,3,11,0
0.52,0.006,34,21,11,3,11,0
0.52,0.007,34,22,10,2,12,0
0.52,0.008,33,23,9,2,13,0
0.52,0.009,32,24,8,1,15,0
0.52,0.01,31,25,7,1,16,0
0.52,0.011,30,28,4,1,17,0
0.52,0.012,27,29,3,0,21,0
0.52,0.013,25,31,1,0,23,0
0.52,0.014,24,31,1,0,24,0
0.52,0.015,24,31,1,0,24,0
0.52,0.016,22,31,1,0,26,0
0.52,0.017,17,31,1,0,31,0
0.52,0.018,15,31,1,0,33,0
0.52,0.019,13,31,1,0,35,0
0.52,0.02,12,31,1,0,36,0
0.52,0.021,11,31,1,0,37,0
0.52,0.022,10,32,0,0,38,0
0.52,0.023,10,32,0,0,38,9
0.52,0.024,9,32,0,0,39,7
0.52,0.025,7,32,0,0,41,7
0.52,0.026,7,32,0,0,41,7
0.52,0.027,7,32,0,0,41,7
0.52,0.028,7,32,0,0,41,7
0.52,0.029,7,32,0,0,41,7
0.52,0.03,7,32,0,0,41,7
0.52,0.031,7,32,0,0,41,7
0.52,0.032,7,32,0,0,41,5
0.52,0.033,5,32,0,0,43,4
0.52,0.034,4,32,0,0,44,4
0.52,0.035,4,32,0,0,44,4
0.52,0.036,4,32,0,0,44,1
0.52,0.037,1,32,0,0,47,1
0.52,0.038,1,32,0,0,47,1
0.52,0.039,1,32,0,0,47,0
0.52,0.04,0,32,0,0,48,0
0.52,0.041,0,32,0,0,48,0
0.52,0.042,0,32,0,0,48,0
0.52,0.043,0,32,0,0,48,0
0.52,0.044,0,32,0,0,48,0
0.52,0.045,0,32,0,0,48,0
0.52,0.046,0,32,0,0,48,0
0.52,0.047,0,32,0,0,48,0
0.52,0.048,0,32,0,0,48,0
0.52,0.049,0,32,0,0,48,0
0.52,0.05,0,32,0,0,48,0
0.525,0.0,39,11,21,8,1,0
0.525,0.001,38,12,20,8,2,0
0.525,0.002,38,13,19,8,2,0
0.525,0.003,37,15,17,5,6,0
0.525,0.004,37,16,16,5,6,0
0.525,0.005,34,20,12,3,11,0
0.525,0.006,34,21,11,3,11,0
0.525,0.007,34,22,10,2,12,0
0.525,0.008,33,23,9,2,13,0
0.525,0.009,32,24,8,1,15,0
0.525,0.01,31,25,7,1,16,0
0.525,0.011,30,28,4,1,17,0
0.525,0.012,27,29,3,0,21,0
0.525,0.013,25,31,1,0,23,0
0.525,0.014,24,31,1,0,24,0
0.525,0.015,24,31,1,0,24,0
0.525,0.016,22,31,1,0,26,0
0.525,0.017,17,31,1,0,31,0
0.525,0.018,15,31,1,0,33,0
0.525,0.019,13,31,1,0,35,0
0.525,0.02,12,31,1,0,36,0
0.525,0.021,11,31,1,0,37,0
0.525,0.022,10,32,0,0,38,0
0.525,0.023,10,32,0,0,38,9
0.525,0.024,9,32,0,0,39,7
0.525,0.025,7,32,0,0,41,7
0.525,0.026,7,32,0,0,41,7
0.525,0.027,7,32,0,0,41,7
0.525,0.028,7,32,0,0,41,7
0.525,0.029,7,32,0,0,41,7
0.525,0.03,7,32,0,0,41,7
0.525,0.031,7,32,0,0,41,7
0.525,0.032,7,32,0,0,41,5
0.525,0.033,5,32,0,0,43,4
0.525,0.034,4,32,0,0,44,4
0.525,0.035,4,32,0,0,44,4
0.525,0.036,4,32,0,0,44,1
0.525,0.037,1,32,0,0,47,1
0.525,0.038,1,32,0,0,47,1
0.525,0.039,1,32,0,0,47,0
0.525,0.04,0,32,0,0,48,0
0.525,0.041,0,32,0,0,48,0
0.525,0.042,0,32,0,0,48,0
0.525,0.043,0,32,0,0,48,0
0.525,0.044,0,32,0,0,48,0
0.525,0.045,0,32,0,0,48,0
0.525,0.046,0,32,0,0,48,0
0.525,0.047,0,32,0,0,48,0
0.525,0.048,0,32,0,0,48,0
0.525,0.049,0,32,0,0,48,0
0.525,0.05,0,32,0,0,48,0
0.53,0.0,39,11,21,8,1,0
0.53,0.001,38,12,20,8,2,0
0.53,0.002,38,13,19,8,2,0
0.53,0.003,37,15,17,5,6,0
0.53,0.004,37,16,16,5,6,0
0.53,0.005,34,20,12,3,11,0
0.53,0.006,34,21,11,3,11,0
0.53,0.007,34,22,10,2,12,0
0.53,0.008,33,23,9,2,13,0
0.53,0.009,32,24,8,1,15,0
0.53,0.01,31,25,7,1,16,0
0.53,0.011,30,28,4,1,17,0
0.53,0.012,27,29,3,0,21,0
0.53,0.013,25,31,1,0,23,0
0.53,0.014,24,31,1,0,24,0
0.53,0.015,24,31,1,0,24,0
0.53,0.016,22,31,1,0,26,0
0.53,0.017,17,31,1,0,31,0
0.53,0.018,15,31,1,0,33,0
0.53,0.019,13,31,1,0,35,0
0.53,0.02,12,31,1,0,36,0
0.53,0.021,11,31,1,0,37,0
0.53,0.022,10,32,0,0,38,0
0.53,0.023,10,32,0,0,38,9
0.53,0.024,9,32,0,0,39,7
0.53,0.025,7,32,0,0,41,7
0.53,0.026,7,32,0,0,41,7
0.53,0.027,7,32,0,0,41,7
0.53,0.028,7,32,0,0,41,7
0.53,0.029,7,32,0,0,41,7
0.53,0.03,7,32,0,0,41,7
0.53,0.031,7,32,0,0,41,7
0.53,0.032,7,32,0,0,41,5
0.53,0.033,5,32,0,0,43,4
0.53,0.034,4,32,0,0,44,4
0.53,0.035,4,32,0,0,44,4
0.53,0.036,4,32,0,0,44,1
0.53,0.037,1,32,0,0,47,1
0.53,0.038,1,32,0,0,47,1
0.53,0.039,1,32,0,0,47,0
0.53,0.04,0,32,0,0,48,0
0.53,0.041,0,32,0,0,48,0
0.53,0.042,0,32,0,0,48,0
0.53,0.043,0,32,0,0,48,0
0.53,0.044,0,32,0,0,48,0
0.53,0.045,0,32,0,0,48,0
0.53,0.046,0,32,0,0,48,0
0.53,0.047,0,32,0,0,48,0
0.53,0.048,0,32,0,0,48,0
0.53,0.049,0,32,0,0,48,0
0.53,0.05,0,32,0,0,48,0
0.535,0.0,39,11,21,8,1,0
0.535,0.001,38,12,20,8,2,0
0.535,0.002,38,13,19,8,2,0
0.535,0.003,37,15,17,5,6,0
0.535,0.004,37,16,16,5,6,0
0.535,0.005,34,20,12,3,11,0
0.535,0.006,34,21,11,3,11,0
0.535,0.007,34,22,10,2,12,0
0.535,0.008,33,23,9,2,13,0
0.535,0.009,32,24,8,1,15,0
0.535,0.01,31,25,7,1,16,0
0.535,0.011,30,28,4,1,17,0
0.535,0.012,27,29,3,0,21,0
0.535,0.013,25,31,1,0,23,0
0.535,0.014,24,31,1,0,24,0
0.535,0.015,24,31,1,0,24,0
0.535,0.016,22,31,1,0,26,0
0.535,0.017,17,31,1,0,31,0
0.535,0.018,15,31,1,0,33,0
0.535,0.019,13,31,1,0,35,0
0.535,0.02,12,31,1,0,36,0
0.535,0.021,11,31,1,0,37,0
0.535,0.022,10,32,0,0,38,0
0.535,0.023,10,32,0,0,38,9
0.535,0.024,9,32,0,0,39,7
0.535,0.025,7,32,0,0,41,7
0.535,0.026,7,32,0,0,41,7
0.535,0.027,7,32,0,0,41,7
0.535,0.028,7,32,0,0,41,7
0.535,0.029,7,32,0,0,41,7
0.535,0.03,7,32,0,0,41,7
0.535,0.031,7,32,0,0,41,7
0.535,0.032,7,32,0,0,41,5
0.535,0.033,5,32,0,0,43,4
0.535,0.034,4,32,0,0,44,4
0.535,0.035,4,32,0,0,44,4
0.535,0.036,4,32,0,0,44,1
0.535,0.037,1,32,0,0,47,1
0.535,0.038,1,32,0,0,47,1
0.535,0.039,1,32,0,0,47,0
0.535,0.04,0,32,0,0,48,0
0.535,0.041,0,32,0,0,48,0
0.535,0.042,0,32,0,0,48,0
0.535,0.043,0,32,0,0,48,0
0.535,0.044,0,32,0,0,48,0
0.535,0.045,0,32,0,0,48,0
0.535,0.046,0,32,0,0,48,0
0.535,0.047,0,32,0,0,48,0
0.535,0.048,0,32,0,0,48,0
0.535,0.049,0,32,0,0,48,0
0.535,0.05,0,32,0,0,48,0
0.54,0.0,39,11,21,8,1,0
0.54,0.001,38,12,20,8,2,0
0.54,0.002,38,13,19,8,2,0
0.54,0.003,37,15,17,5,6,0
0.54,0.004,37,16,16,5,6,0
0.54,0.005,34,20,12,3,11,0
0.54,0.006,34,21,11,3,11,0
0.54,0.007,34,22,10,2,12,0
0.54,0.008,33,23,9,2,13,0
0.54,0.009,32,24,8,1,15,0
0.54,0.01,31,25,7,1,16,0
0.54,0.011,30,28,4,1,17,0
0.54,0.012,27,29,3,0,21,0
0.54,0.013,25,31,1,0,23,0
0.54,0.014,24,31,1,0,24,0
0.54,0.015,24,31,1,0,24,0
0.54,0.016,22,31,1,0,26,0
0.54,0.017,17,31,1,0,31,0
0.54,0.018,15,31,1,0,33,0
0.54,0.019,13,31,1,0,35,0
0.54,0.02,12,31,1,0,36,0
0.54,0.021,11,31,1,0,37,0
0.54,0.022,10,32,0,0,38,0
0.54,0.023,10,32,0,0,38,9
0.54,0.024,9,32,0,0,39,7
0.54,0.025,7,32,0,0,41,7
0.54,0.026,7,32,0,0,41,7
0.54,0.027,7,32,0,0,41,7
0.54,0.028,7,32,0,0,41,7
0.54,0.029,7,32,0,0,41,7
0.54,0.03,7,32,0,0,41,7
0.54,0.031,7,32,0,0,41,7
0.54,0.032,7,32,0,0,41,5
0.54,0.033,5,32,0,0,43,4
0.54,0.034,4,32,0,0,44,4
0.54,0.035,4,32,0,0,44,4
0.54,0.036,4,32,0,0,44,1
0.54,0.037,1,32,0,0,47,1
0.54,0.038,1,32,0,0,47,1
0.54,0.039,1,32,0,0,47,0
0.54,0.04,0,32,0,0,48,0
0.54,0.041,0,32,0,0,48,0
0.54,0.042,0,32,0,0,48,0
0.54,0.043,0,32,0,0,48,0
0.54,0.044,0,32,0,0,48,0
0.54,0.045,0,32,0,0,48,0
0.54,0.046,0,32,0,0,48,0
0.54,0.047,0,32,0,0,48,0
0.54,0.048,0,32,0,0,48,0
0.54,0.049,0,32,0,0,48,0
0.54,0.05,0,32,0,0,48,0
0.545,0.0,39,11,21,8,1,0
0.545,0.001,38,12,20,8,2,0
0.545,0.002,38,13,19,8,2,0
0.545,0.003,37,15,17,5,6,0
0.545,0.004,37,16,16,5,6,0
0.545,0.005,34,20,12,3,11,0
0.545,0.006,34,21,11,3,11,0
0.545,0.007,34,22,10,2,12,0
0.545,0.008,33,23,9,2,13,0
0.545,0.009,32,24,8,1,15,0
0.545,0.01,31,25,7,1,16,0
0.545,0.011,30,28,4,1,17,0
0.545,0.012,27,29,3,0,21,0
0.545,0.013,25,31,1,0,23,0
0.545,0.014,24,31,1,0,24,0
0.545,0.015,24,31,1,0,24,0
0.545,0.016,22,31,1,0,26,0
0.545,0.017,17,31,1,0,31,0
0.545,0.018,15,31,1,0,33,0
0.545,0.019,13,31,1,0,35,0
0.545,0.02,12,31,1,0,36,0
0.545,0.021,11,31,1,0,37,0
0.545,0.022,10,32,0,0,38,0
0.545,0.023,10,32,0,0,38,9
0.545,0.024,9,32,0,0,39,7
0.545,0.025,7,32,0,0,41,7
0.545,0.026,7,32,0,0,41,7
0.545,0.027,7,32,0,0,41,7
0.545,0.028,7,32,0,0,41,7
0.545,0.029,7,32,0,0,41,7
0.545,0.03,7,32,0,0,41,7
0.545,0.031,7,32,0,0,41,7
0.545,0.032,7,32,0,0,41,5
0.545,0.033,5,32,0,0,43,4
0.545,0.034,4,32,0,0,44,4
0.545,0.035,4,32,0,0,44,4
0.545,0.036,4,32,0,0,44,1
0.545,0.037,1,32,0,0,47,1
0.545,0.038,1,32,0,0,47,1
0.545,0.039,1,32,0,0,47,0
0.545,0.04,0,32,0,0,48,0
0.545,0.041,0,32,0,0,48,0
0.545,0.042,0,32,0,0,48,0
0.545,0.043,0,32,0,0,48,0
0.545,0.044,0,32,0,0,48,0
0.545,0.045,0,32,0,0,48,0
0.545,0.046,0,32,0,0,48,0
0.545,0.047,0,32,0,0,48,0
0.545,0.048,0,32,0,0,48,0
0.545,0.049,0,32,0,0,48,0
0.545,0.05,0,32,0,0,48,0
0.55,0.0,39,11,21,8,1,0
0.55,0.001,38,12,20,8,2,0
0.55,0.002,38,13,19,8,2,0
0.55,0.003,37,15,17,5,6,0
0.55,0.004,37,16,16,5,6,0
0.55,0.005,34,20,12,3,11,0
0.55,0.006,34,21,11,3,11,0
0.55,0.007,34,22,10,2,12,0
0.55,0.008,33,23,9,2,13,0
0.55,0.009,32,24,8,1,15,0
0.55,0.01,31,25,7,1,16,0
0.55,0.011,30,28,4,1,17,0
0.55,0.012,27,29,3,0,21,0
0.55,0.013,25,31,1,0,23,0
0.55,0.014,24,31,1,0,24,0
0.55,0.015,24,31,1,0,24,0
0.55,0.016,22,31,1,0,26,0
0.55,0.017,17,31,1,0,31,0
0.55,0.018,15,31,1,0,33,0
0.55,0.019,13,31,1,0,35,0
0.55,0.02,12,31,1,0,36,0
0.55,0.021,11,31,1,0,37,0
0.55,0.022,10,32,0,0,38,0
0.55,0.023,10,32,0,0,38,9
0.55,0.024,9,32,0,0,39,7
0.55,0.025,7,32,0,0,41,7
0.55,0.026,7,32,0,0,41,7
0.55,0.027,7,32,0,0,41,7
0.55,0.028,7,32,0,0,41,7
0.55,0.029,7,32,0,0,41,7
0.55,0.03,7,32,0,0,41,7
0.55,0.031,7,32,0,0,41,7
0.55,0.032,7,32,0,0,41,5
0.55,0.033,5,32,0,0,43,4
0.55,0.034,4,32,0,0,44,4
0.55,0.035,4,32,0,0,44,4
0.55,0.036,4,32,0,0,44,1
0.55,0.037,1,32,0,0,47,1
0.55,0.038,1,32,0,0,47,1
0.55,0.039,1,32,0,0,47,0
0.55,0.04,0,32,0,0,48,0
0.55,0.041,0,32,0,0,48,0
0.55,0.042,0,32,0,0,48,0
0.55,0.043,0,32,0,0,48,0
0.55,0.044,0,32,0,0,48,0
0.55,0.045,0,32,0,0,48,0
0.55,0.046,0,32,0,0,48,0
0.55,0.047,0,32,0,0,48,0
0.55,0.048,0,32,0,0,48,0
0.55,0.049,0,32,0,0,48,0
0.55,0.05,0,32,0,0,48,0
0.555,0.0,39,11,21,8,1,0
0.555,0.001,38,12,20,8,2,0
0.555,0.002,38,13,19,8,2,0
0.555,0.003,37,15,17,5,6,0
0.555,0.004,37,16,16,5,6,0
0.555,0.005,34,20,12,3,11,0
0.555,0.006,34,21,11,3,11,0
0.555,0.007,34,22,10,2,12,0
0.555,0.008,33,23,9,2,13,0
0.555,0.009,32,24,8,1,15,0
0.555,0.01,31,25,7,1,16,0
0.555,0.011,30,28,4,1,17,0
0.555,0.012,27,29,3,0,21,0
0.555,0.013,25,31,1,0,23,0
0.555,0.014,24,31,1,0,24,0
0.555,0.015,24,31,1,0,24,0
0.555,0.016,22,31,1,0,26,0
0.555,0.017,17,31,1,0,31,0
0.555,0.018,15,31,1,0,33,0
0.555,0.019,13,31,1,0,35,0
0.555,0.02,12,31,1,0,36,0
0.555,0.021,11,31,1,0,37,0
0.555,0.022,10,32,0,0,38,0
0.555,0.023,10,32,0,0,38,9
0.555,0.024,9,32,0,0,39,7
0.555,0.025,7,32,0,0,41,7
0.555,0.026,7,32,0,0,41,7
0.555,0.027,7,32,0,0,41,7
0.555,0.028,7,32,0,0,41,7
0.555,0.029,7,32,0,0,41,7
0.555,0.03,7,32,0,0,41,7
0.555,0.031,7,32,0,0,41,7
0.555,0.032,7,32,0,0,41,5
0.555,0.033,5,32,0,0,43,4
0.555,0.034,4,32,0,0,44,4
0.555,0.035,4,32,0,0,44,4
0.555,0.036,4,32,0,0,44,1
0.555,0.037,1,32,0,0,47,1
0.555,0.038,1,32,0,0,47,1
0.555,0.039,1,32,0,0,47,0
0.555,0.04,0,32,0,0,48,0
0.555,0.041,0,32,0,0,48,0
0.555,0.042,0,32,0,0,48,0
0.555,0.043,0,32,0,0,48,0
0.555,0.044,0,32,0,0,48,0
0.555,0.045,0,32,0,0,48,0
0.555,0.046,0,32,0,0,48,0
0.555,0.047,0,32,0,0,48,0
0.555,0.048,0,32,0,0,48,0
0.555,0.049,0,32,0,0,48,0
0.555,0.05,0,32,0,0,48,0
0.56,0.0,39,11,21,8,1,0
0.56,0.001,38,12,20,8,2,0
0.56,0.002,38,13,19,8,2,0
0.56,0.003,37,15,17,5,6,0
0.56,0.004,37,16,16,5,6,0
0.56,0.005,34,20,12,3,11,0
0.56,0.006,34,21,11,3,11,0
0.56,0.007,34,22,10,2,12,0
0.56,0.008,33,23,9,2,13,0
0.56,0.009,32,24,8,1,15,0
0.56,0.01,31,25,7,1,16,0
0.56,0.011,30,28,4,1,17,0
0.56,0.012,27,29,3,0,21,0
0.56,0.013,25,31,1,0,23,0
0.56,0.014,24,31,1,0,24,0
0.56,0.015,24,31,1,0,24,0
0.56,0.016,22,31,1,0,26,0
0.56,0.017,17,31,1,0,31,0
0.56,0.018,15,31,1,0,33,0
0.56,0.019,13,31,1,0,35,0
0.56,0.02,12,31,1,0,36,0
0.56,0.021,11,31,1,0,37,0
0.56,0.022,10,32,0,0,38,0
0.56,0.023,10,32,0,0,38,9
0.56,0.024,9,32,0,0,39,7
0.56,0.025,7,32,0,0,41,7
0.56,0.026,7,32,0,0,41,7
0.56,0.027,7,32,0,0,41,7
0.56,0.028,7,32,0,0,41,7
0.56,0.029,7,32,0,0,41,7
0.56,0.03,7,32,0,0,41,7
0.56,0.031,7,32,0,0,41,7
0.56,0.032,7,32,0,0,41,5
0.56,0.033,5,32,0,0,43,4
0.56,0.034,4,32,0,0,44,4
0.56,0.035,4,32,0,0,44,4
0.56,0.036,4,32,0,0,44,1
0.56,0.037,1,32,0,0,47,1
0.56,0.038,1,32,0,0,47,1
0.56,0.039,1,32,0,0,47,0
0.56,0.04,0,32,0,0,48,0
0.56,0.041,0,32,0,0,48,0
0.56,0.042,0,32,0,0,48,0
0.56,0.043,0,32,0,0,48,0
0.56,0.044,0,32,0,0,48,0
0.56,0.045,0,32,0,0,48,0
0.56,0.046,0,32,0,0,48,0
0.56,0.047,0,32,0,0,48,0
0.56,0.048,0,32,0,0,48,0
0.56,0.049,0,32,0,0,48,0
0.56,0.05,0,32,0,0,48,0
0.565,0.0,39,11,21,8,1,0
0.565,0.001,38,12,20,8,2,0
0.565,0.002,38,13,19,8,2,0
0.565,0.003,37,15,17,5,6,0
0.565,0.004,37,16,16,5,6,0
0.565,0.005,34,20,12,3,11,0
0.565,0.006,34,21,11,3,11,0
0.565,0.007,34,22,10,2,12,0
0.565,0.008,33,23,9,2,13,0
0.565,0.009,32,24,8,1,15,0
0.565,0.01,31,25,7,1,16,0
0.565,0.011,30,28,4,1,17,0
0.565,0.012,27,29,3,0,21,0
0.565,0.013,25,31,1,0,23,0
0.565,0.014,24,31,1,0,24,0
0.565,0.015,24,31,1,0,24,0
0.565,0.016,22,31,1,0,26,0
0.565,0.017,17,31,1,0,31,0
0.565,0.018,15,31,1,0,33,0
0.565,0.019,13,31,1,0,35,0
0.565,0.02,12,31,1,0,36,0
0.565,0.021,11,31,1,0,37,0
0.565,0.022,10,32,0,0,38,0
0.565,0.023,10,32,0,0,38,9
0.565,0.024,9,32,0,0,39,7
0.565,0.025,7,32,0,0,41,7
0.565,0.026,7,32,0,0,41,7
0.565,0.027,7,32,0,0,41,7
0.565,0.028,7,32,0,0,41,7
0.565,0.029,7,32,0,0,41,7
0.565,0.03,7,32,0,0,41,7
0.565,0.031,7,32,0,0,41,7
0.565,0.032,7,32,0,0,41,5
0.565,0.033,5,32,0,0,43,4
0.565,0.034,4,32,0,0,44,4
0.565,0.035,4,32,0,0,44,4
0.565,0.036,4,32,0,0,44,1
0.565,0.037,1,32,0,0,47,1
0.565,0.038,1,32,0,0,47,1
0.565,0.039,1,32,0,0,47,0
0.565,0.04,0,32,0,0,48,0
0.565,0.041,0,32,0,0,48,0
0.565,0.042,0,32,0,0,48,0
0.565,0.043,0,32,0,0,48,0
0.565,0.044,0,32,0,0,48,0
0.565,0.045,0,32,0,0,48,0
0.565,0.046,0,32,0,0,48,0
0.565,0.047,0,32,0,0,48,0
0.565,0.048,0,32,0,0,48,0
0.565,0.049,0,32,0,0,48,0
0.565,0.05,0,32,0,0,48,0
0.57,0.0,39,11,21,8,1,0
0.57,0.001,38,12,20,8,2,0
0.57,0.002,38,13,19,8,2,0
0.57,0.003,37,15,17,5,6,0
0.57,0.004,37,16,16,5,6,0
0.57,0.005,34,20,12,3,11,0
0.57,0.006,34,21,11,3,11,0
0.57,0.007,34,22,10,2,12,0
0.57,0.008,33,23,9,2,13,0
0.57,0.009,32,24,8,1,15,0
0.57,0.01,31,25,7,1,16,0
0.57,0.011,30,28,4,1,17,0
0.57,0.012,27,29,3,0,21,0
0.57,0.013,25,31,1,0,23,0
0.57,0.014,24,31,1,0,24,0
0.57,0.015,24,31,1,0,24,0
0.57,0.016,22,31,1,0,26,0
0.57,0.017,17,31,1,0,31,0
0.57,0.018,15,31,1,0,33,0
0.57,0.019,13,31,1,0,35,0
0.57,0.02,12,31,1,0,36,0
0.57,0.021,11,31,1,0,37,0
0.57,0.022,10,32,0,0,38,0
0.57,0.023,10,32,0,0,38,9
0.57,0.024,9,32,0,0,39,7
0.57,0.025,7,32,0,0,41,7
0.57,0.026,7,32,0,0,41,7
0.57,0.027,7,32,0,0,41,7
0.57,0.028,7,32,0,0,41,7
0.57,0.029,7,32,0,0,41,7
0.57,0.03,7,32,0,0,41,7
0.57,0.031,7,32,0,0,41,7
0.57,0.032,7,32,0,0,41,5
0.57,0.033,5,32,0,0,43,4
0.57,0.034,4,32,0,0,44,4
0.57,0.035,4,32,0,0,44,4
0.57,0.036,4,32,0,0,44,1
0.57,0.037,1,32,0,0,47,1
0.57,0.038,1,32,0,0,47,1
0.57,0.039,1,32,0,0,47,0
0.57,0.04,0,32,0,0,48,0
0.57,0.041,0,32,0,0,48,0
0.57,0.042,0,32,0,0,48,0
0.57,0.043,0,32,0,0,48,0
0.57,0.044,0,32,0,0,48,0
0.57,0.045,0,32,0,0,48,0
0.57,0.046,0,32,0,0,48,0
0.57,0.047,0,32,0,0,48,0
0.57,0.048,0,32,0,0,48,0
0.57,0.049,0,32,0,0,48,0
0.57,0.05,0,32,0,0,48,0
0.575,0.0,39,11,21,8,1,0
0.575,0.001,38,12,20,8,2,0
0.575,0.002,38,13,19,8,2,0
0.575,0.003,37,15,17,5,6,0
0.575,0.004,37,16,16,5,6,0
0.575,0.005,34,20,12,3,11,0
0.575,0.006,34,21,11,3,11,0
0.575,0.007,34,22,10,2,12,0
0.575,0.008,33,23,9,2,13,0
0.575,0.009,32,24,8,1,15,0
0.575,0.01,31,25,7,1,16,0
0.575,0.011,30,28,4,1,17,0
0.575,0.012,27,29,3,0,21,0
0.575,0.013,25,31,1,0,23,0
0.575,0.014,24,31,1,0,24,0
0.575,0.015,24,31,1,0,24,0
0.575,0.016,22,31,1,0,26,0
0.575,0.017,17,31,1,0,31,0
0.575,0.018,15,31,1,0,33,0
0.575,0.019,13,31,1,0,35,0
0.575,0.02,12,31,1,0,36,0
0.575,0.021,11,31,1,0,37,0
0.575,0.022,10,32,0,0,38,0
0.575,0.023,10,32,0,0,38,9
0.575,0.024,9,32,0,0,39,7
0.575,0.025,7,32,0,0,41,7
0.575,0.026,7,32,0,0,41,7
0.575,0.027,7,32,0,0,41,7
0.575,0.028,7,32,0,0,41,7
0.575,0.029,7,32,0,0,41,7
0.575,0.03,7,32,0,0,41,7
0.575,0.031,7,32,0,0,41,7
0.575,0.032,7,32,0,0,41,5
0.575,0.033,5,32,0,0,43,4
0.575,0.034,4,32,0,0,44,4
0.575,0.035,4,32,0,0,44,4
0.575,0.036,4,32,0,0,44,1
0.575,0.037,1,32,0,0,47,1
0.575,0.038,1,32,0,0,47,1
0.575,0.039,1,32,0,0,47,0
0.575,0.04,0,32,0,0,48,0
0.575,0.041,0,32,0,0,48,0
0.575,0.042,0,32,0,0,48,0
0.575,0.043,0,32,0,0,48,0
0.575,0.044,0,32,0,0,48,0
0.575,0.045,0,32,0,0,48,0
0.575,0.046,0,32,0,0,48,0
0.575,0.047,0,32,0,0,48,0
0.575,0.048,0,32,0,0,48,0
0.575,0.049,0,32,0,0,48,0
0.575,0.05,0,32,0,0,48,0
0.58,0.0,39,11,21,8,1,0
0.58,0.001,38,12,20,8,2,0
0.58,0.002,38,13,19,8,2,0
0.58,0.003,37,15,17,5,6,0
0.58,0.004,37,16,16,5,6,0
0.58,0.005,34,20,12,3,11,0
0.58,0.006,34,21,11,3,11,0
0.58,0.007,34,22,10,2,12,0
0.58,0.008,33,23,9,2,13,0
0.58,0.009,32,24,8,1,15,0
0.58,0.01,31,25,7,1,16,0
0.58,0.011,30,28,4,1,17,0
0.58,0.012,27,29,3,0,21,0
0.58,0.013,25,31,1,0,23,0
0.58,0.014,24,31,1,0,24,0
0.58,0.015,24,31,1,0,24,0
0.58,0.016,22,31,1,0,26,0
0.58,0.017,17,31,1,0,31,0
0.58,0.018,15,31,1,0,33,0
0.58,0.019,13,31,1,0,35,0
0.58,0.02,12,31,1,0,36,0
0.58,0.021,11,31,1,0,37,0
0.58,0.022,10,32,0,0,38,0
0.58,0.023,10,32,0,0,38,9
0.58,0.024,9,32,0,0,39,7
0.58,0.025,7,32,0,0,41,7
0.58,0.026,7,32,0,0,41,7
0.58,0.027,7,32,0,0,41,7
0.58,0.028,7,32,0,0,41,7
0.58,0.029,7,32,0,0,41,7
0.58,0.03,7,32,0,0,41,7
0.58,0.031,7,32,0,0,41,7
0.58,0.032,7,32,0,0,41,5
0.58,0.033,5,32,0,0,43,4
0.58,0.034,4,32,0,0,44,4
0.58,0.035,4,32,0,0,44,4
0.58,0.036,4,32,0,0,44,1
0.58,0.037,1,32,0,0,47,1
0.58,0.038,1,32,0,0,47,1
0.58,0.039,1,32,0,0,47,0
0.58,0.04,0,32,0,0,48,0
0.58,0.041,0,32,0,0,48,0
0.58,0.042,0,32,0,0,48,0
0.58,0.043,0,32,0,0,48,0
0.58,0.044,0,32,0,0,48,0
0.58,0.045,0,32,0,0,48,0
0.58,0.046,0,32,0,0,48,0
0.58,0.047,0,32,0,0,48,0
0.58,0.048,0,32,0,0,48,0
0.58,0.049,0,32,0,0,48,0
0.58,0.05,0,32,0,0,48,0
0.585,0.0,39,11,21,8,1,0
0.585,0.001,38,12,20,8,2,0
0.585,0.002,38,13,19,8,2,0
0.585,0.003,37,15,17,5,6,0
0.585,0.004,37,16,16,5,6,0
0.585,0.005,34,20,12,3,11,0
0.585,0.006,34,21,11,3,11,0
0.585,0.007,34,22,10,2,12,0
0.585,0.008,33,23,9,2,13,0
0.585,0.009,32,24,8,1,15,0
0.585,0.01,31,25,7,1,16,0
0.585,0.011,30,28,4,1,17,0
0.585,0.012,27,29,3,0,21,0
0.585,0.013,25,31,1,0,23,0
0.585,0.014,24,31,1,0,24,0
0.585,0.015,24,31,1,0,24,0
0.585,0.016,22,31,1,0,26,0
0.585,0.017,17,31,1,0,31,0
0.585,0.018,15,31,1,0,33,0
0.585,0.019,13,31,1,0,35,0
0.585,0.02,12,31,1,0,36,0
0.585,0.021,11,31,1,0,37,0
0.585,0.022,10,32,0,0,38,0
0.585,0.023,10,32,0,0,38,9
0.585,0.024,9,32,0,0,39,7
0.585,0.025,7,32,0,0,41,7
0.585,0.026,7,32,0,0,41,7
0.585,0.027,7,32,0,0,41,7
0.585,0.028,7,32,0,0,41,7
0.585,0.029,7,32,0,0,41,7
0.585,0.03,7,32,0,0,41,7
0.585,0.031,7,32,0,0,41,7
0.585,0.032,7,32,0,0,41,5
0.585,0.033,5,32,0,0,43,4
